"X","State.Is.Easing.Social.Distancing.Measures","Stay.at.Home.Order","Mandatory.Quarantine.for.Travelers","Non.Essential.Business.Closures","Large.Gatherings.Ban","School.Closures","Restaurant.Limits","Primary.Election.Postponement","Emergency.Declaration","Version","Face.Covering.Requirement","Status.of.Reopening","Bar.Closures"
"Maryland",NA,"Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_03","Required for General Public","Paused","Reopened"
"Massachusetts",NA,"Rolled Back to High Risk Groups","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit of 25",NA,"Reopened to Dine-in Service","-","Yes","2020_08_03","Required for General Public","Proceeding with Reopening","Closed"
"Michigan",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen","New Limit on Large Gatherings in Place",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_03","Required for General Public","New Restrictions Imposed","Newly Closed"
"Minnesota",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_03","Required for General Public","Proceeding with Reopening","Reopened"
"Mississippi",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_03","Required for Certain Employees","New Restrictions Imposed","New Service Limits"
"Missouri",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted",NA,"Reopened to Dine-in Service","-","Yes","2020_08_03","-","Reopened","Reopened"
"Montana",NA,"Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_03","Required for General Public","Proceeding with Reopening","Reopened"
"Nebraska",NA,"-","Rolled Back to International Travel","-","Expanded to New Limit of 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_03","Required for Certain Employees","Proceeding with Reopening","Reopened"
"Nevada",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_03","Required for General Public","New Restrictions Imposed","Reopened"
"New Hampshire",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_03","Required for Certain Employees","Proceeding with Reopening","Reopened"
"New Jersey",NA,"Lifted","From Certain States (New)","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_03","Required for General Public","New Restrictions Imposed","Closed"
"New Mexico",NA,"Lifted","All Air Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25",NA,"New Service Limits","-","Yes","2020_08_03","Required for Certain Employees","New Restrictions Imposed","Closed"
"New York",NA,"Rolled Back to High Risk Groups","From Certain States (New)","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_03","Required for General Public","Proceeding with Reopening","Reopened"
"North Carolina",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited",NA,"New Service Limits","-","Yes","2020_08_03","Required for General Public","New Restrictions Imposed","Closed"
"North Dakota",NA,"-","All Travelers","All Non-Essential Businesses Permitted to Reopen","-",NA,"Reopened to Dine-in Service","-","Yes","2020_08_03","- ","Reopened","Reopened"
"Ohio",NA,"Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25",NA,"Reopened to Dine-in Service","Postponed","Yes","2020_08_03","Required for General Public","Proceeding with Reopening","New Service Limits"
"Oklahoma",NA,"Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_03","-","Reopened","Reopened"
"Oregon",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen","New Limit on Large Gatherings in Place",NA,"New Service Limits","-","Yes","2020_08_03","Required for General Public","New Restrictions Imposed","New Service Limits"
"Pennsylvania",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place",NA,"New Service Limits","-","Yes","2020_08_03","Required for General Public","New Restrictions Imposed","Newly Closed"
"Rhode Island",NA,"Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_03","Required for General Public","Proceeding with Reopening","Reopened"
"South Carolina",NA,"Lifted","Lifted","New Business Closures or Limits","Lifted",NA,"New Service Limits","-","Yes","2020_08_03","Allows Local Officals to Require for General Public","New Restrictions Imposed","New Service Limits"
"South Dakota",NA,"-","-","-","Lifted",NA,"-","-","Yes","2020_08_03","-","Reopened","Reopened"
"Tennessee",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service","-","Yes","2020_08_03","Allows Local Officals to Require for General Public","Proceeding with Reopening","Reopened"
"Texas",NA,"Lifted","Lifted","New Business Closures or Limits","New Limit on Large Gatherings in Place",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_03","Required for General Public","New Restrictions Imposed","Newly Closed"
"Utah",NA,"Lifted","Lifted","-","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service","-","Yes","2020_08_03","Required for Certain Employees","Proceeding with Reopening","Reopened"
"Vermont",NA,"Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_03","Required for General Public","Proceeding with Reopening","Reopened"
"Virginia",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service","-","Yes","2020_08_03","Required for General Public","Proceeding with Reopening","Closed"
"Washington",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Other",NA,"New Service Limits","-","Yes","2020_08_03","Required for General Public","Paused","Closed"
"West Virginia",NA,"Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_03","Required for General Public","New Restrictions Imposed","Reopened"
"Wisconsin",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted",NA,"Reopened to Dine-in Service","-","Yes","2020_08_03","Required for General Public","Reopened","Reopened"
"Wyoming",NA,"-","Lifted","-","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service ","-","Yes","2020_08_03","Required for Certain Employees","Proceeding with Reopening","Reopened"
"",NA,"Text--narrow","Text--narrow","Text","Text--narrow",NA,"Text","Text--narrow","Text--narrow","2020_08_05","Text--narrow","Yes/No","Text"
"United States",NA,"Original Stay at Home Order in Place (1); Stay at Home Order Eased or Lifted (44); No Action (6)","Original Traveler Quarantine Mandate in Place (9); New Traveler Quarantine Mandate in Place (4); Traveler Quarantine Mandate Eased or Lifted (16); No Action (23)","Some or All Non-Essential Businesses Permitted to Reopen (42); New Business Closures or Limits (4); No Action (5)","Original Gathering Ban/Limit in Place (4); Gathering Ban/Limit Expanded or Lifted (37); New Gathering Ban/Limit in Place (9): No Action (1)",NA,"Restaurants Reopened to Dine-in Service (42); Newly Closed to Dine-in Service (1); New Service Limits (7); No Action (1)","Postponed (15); No (36)","Yes (51); No (0)","2020_08_05","Required for General Public (33); Required for Certain Employees (10); Allows Local Officals to Require for General Public (4); No Action (5)","Proceeding (20); Paused (7); New Restrictions Imposed (17); Reopened (7)","Closed (9); Reopened (28); Newly Closed (9); New Service Limits (5)"
"Alabama",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service","-","Yes","2020_08_05","Required for General Public","Paused","Reopened"
"Alaska",NA,"Lifted","All Travelers","All Non-Essential Businesses Permitted to Reopen","Lifted",NA,"Reopened to Dine-in Service ","-","Yes","2020_08_05","Required for Certain Employees","Proceeding with Reopening","Reopened"
"Arizona",NA,"Lifted","Lifted","New Business Closures or Limits","New Limit on Large Gatherings in Place",NA,"New Service Limits","-","Yes","2020_08_05","Required for Certain Employees;
Allows Local Officials to Require for General Public","New Restrictions Imposed","Newly Closed"
"Arkansas",NA,"-","Lifted","-","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_05","Required for General Public","Paused","Reopened"
"California",NA,"Statewide","-","New Business Closures or Limits","All Gatherings Prohibited",NA,"Newly Closed to Dine-in Service","-","Yes","2020_08_05","Required for General Public","New Restrictions Imposed","Newly Closed"
"Colorado",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_05","Required for General Public","New Restrictions Imposed","Newly Closed"
"Connecticut",NA,"Lifted","From Certain States (New)","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_05","Required for General Public","Proceeding with Reopening","Closed"
"Delaware",NA,"Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_05","Required for General Public","New Restrictions Imposed","New Service Limits"
"District of Columbia",NA,"Lifted","From Certain States (New)","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_05","Required for General Public","Proceeding with Reopening","Closed"
"Florida",NA,"Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_05","Required for Certain Employees","New Restrictions Imposed","Newly Closed"
"Georgia",NA,"Rolled Back to High Risk Groups","-","All Non-Essential Businesses Permitted to Reopen ","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service ","Postponed","Yes","2020_08_05","Required for Certain Employees","Proceeding with Reopening","Reopened"
"Hawaii",NA,"Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service","-","Yes","2020_08_05","Required for General Public","Proceeding with Reopening","Reopened"
"Idaho",NA,"Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_05","-","Paused","Reopened"
"Illinois",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_05","Required for General Public","Proceeding with Reopening","Reopened"
"Indiana",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_05","Required for General Public","Paused","Reopened"
"Iowa",NA,"-","-","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service","-","Yes","2020_08_05","Allows Local Officals to Require for General Public","Reopened","Reopened"
"Kansas",NA,"Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen","Lifted",NA,"Reopened to Dine-in Service ","-","Yes","2020_08_05","Required for General Public","Reopened","Reopened"
"Kentucky",NA,"Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","New Limit on Large Gatherings in Place",NA,"New Service Limits","Postponed","Yes","2020_08_05","Required for General Public","New Restrictions Imposed","Newly Closed"
"Louisiana",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_05","Required for General Public","New Restrictions Imposed","Newly Closed"
"Maine",NA,"Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_05","Required for General Public","Proceeding with Reopening","Closed"
"Maryland",NA,"Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_05","Required for General Public","Paused","Reopened"
"Massachusetts",NA,"Rolled Back to High Risk Groups","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit of 25",NA,"Reopened to Dine-in Service","-","Yes","2020_08_05","Required for General Public","Proceeding with Reopening","Closed"
"Michigan",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen","New Limit on Large Gatherings in Place",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_05","Required for General Public","New Restrictions Imposed","Newly Closed"
"Minnesota",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_05","Required for General Public","Proceeding with Reopening","Reopened"
"Mississippi",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_05","Required for General Public","New Restrictions Imposed","New Service Limits"
"Missouri",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted",NA,"Reopened to Dine-in Service","-","Yes","2020_08_05","-","Reopened","Reopened"
"Montana",NA,"Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_05","Required for General Public","Proceeding with Reopening","Reopened"
"Nebraska",NA,"-","Rolled Back to International Travel","-","Expanded to New Limit of 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_05","Required for Certain Employees","Proceeding with Reopening","Reopened"
"Nevada",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_05","Required for General Public","New Restrictions Imposed","Reopened"
"New Hampshire",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_05","Required for Certain Employees","Proceeding with Reopening","Reopened"
"New Jersey",NA,"Lifted","From Certain States (New)","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_05","Required for General Public","New Restrictions Imposed","Closed"
"New Mexico",NA,"Lifted","All Air Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25",NA,"New Service Limits","-","Yes","2020_08_05","Required for Certain Employees","New Restrictions Imposed","Closed"
"New York",NA,"Rolled Back to High Risk Groups","From Certain States (New)","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_05","Required for General Public","Proceeding with Reopening","Reopened"
"North Carolina",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited",NA,"New Service Limits","-","Yes","2020_08_05","Required for General Public","New Restrictions Imposed","Closed"
"North Dakota",NA,"-","All Travelers","All Non-Essential Businesses Permitted to Reopen","-",NA,"Reopened to Dine-in Service","-","Yes","2020_08_05","- ","Reopened","Reopened"
"Ohio",NA,"Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25",NA,"Reopened to Dine-in Service","Postponed","Yes","2020_08_05","Required for General Public","Proceeding with Reopening","New Service Limits"
"Oklahoma",NA,"Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_05","-","Reopened","Reopened"
"Oregon",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen","New Limit on Large Gatherings in Place",NA,"New Service Limits","-","Yes","2020_08_05","Required for General Public","New Restrictions Imposed","New Service Limits"
"Pennsylvania",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place",NA,"New Service Limits","-","Yes","2020_08_05","Required for General Public","New Restrictions Imposed","Newly Closed"
"Rhode Island",NA,"Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_05","Required for General Public","Proceeding with Reopening","Reopened"
"South Carolina",NA,"Lifted","Lifted","New Business Closures or Limits","Lifted",NA,"New Service Limits","-","Yes","2020_08_05","Allows Local Officals to Require for General Public","New Restrictions Imposed","New Service Limits"
"South Dakota",NA,"-","-","-","Lifted",NA,"-","-","Yes","2020_08_05","-","Reopened","Reopened"
"Tennessee",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service","-","Yes","2020_08_05","Allows Local Officals to Require for General Public","Proceeding with Reopening","Reopened"
"Texas",NA,"Lifted","Lifted","New Business Closures or Limits","New Limit on Large Gatherings in Place",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_05","Required for General Public","New Restrictions Imposed","Newly Closed"
"Utah",NA,"Lifted","Lifted","-","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service","-","Yes","2020_08_05","Required for Certain Employees","Proceeding with Reopening","Reopened"
"Vermont",NA,"Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_05","Required for General Public","Proceeding with Reopening","Reopened"
"Virginia",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service","-","Yes","2020_08_05","Required for General Public","Proceeding with Reopening","Closed"
"Washington",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Other",NA,"New Service Limits","-","Yes","2020_08_05","Required for General Public","Paused","Closed"
"West Virginia",NA,"Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_05","Required for General Public","New Restrictions Imposed","Reopened"
"Wisconsin",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted",NA,"Reopened to Dine-in Service","-","Yes","2020_08_05","Required for General Public","Reopened","Reopened"
"Wyoming",NA,"-","Lifted","-","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service ","-","Yes","2020_08_05","Required for Certain Employees","Proceeding with Reopening","Reopened"
"",NA,"Text--narrow","Text--narrow","Text","Text--narrow",NA,"Text","Text--narrow","Text--narrow","2020_08_11","Text--narrow","Yes/No","Text"
"United States",NA,"Original Stay at Home Order in Place (1); Stay at Home Order Eased or Lifted (44); No Action (6)","Original Traveler Quarantine Mandate in Place (9); New Traveler Quarantine Mandate in Place (4); Traveler Quarantine Mandate Eased or Lifted (16); No Action (23)","Some or All Non-Essential Businesses Permitted to Reopen (42); New Business Closures or Limits (4); No Action (5)","Original Gathering Ban/Limit in Place (4); Gathering Ban/Limit Expanded or Lifted (36); New Gathering Ban/Limit in Place (10): No Action (1)",NA,"Restaurants Reopened to Dine-in Service (41); Newly Closed to Dine-in Service (1); New Service Limits (8); No Action (1)","Postponed (15); No (36)","Yes (51); No (0)","2020_08_11","Required for General Public (33); Required for Certain Employees (10); Allows Local Officals to Require for General Public (4); No Action (5)","Proceeding (17); Paused (7); New Restrictions Imposed (20); Reopened (7)","Closed (9); Reopened (27); Newly Closed (9); New Service Limits (6)"
"Alabama",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service","-","Yes","2020_08_11","Required for General Public","Paused","Reopened"
"Alaska",NA,"Lifted","All Travelers","All Non-Essential Businesses Permitted to Reopen","Lifted",NA,"Reopened to Dine-in Service ","-","Yes","2020_08_11","Required for Certain Employees","Proceeding with Reopening","Reopened"
"Arizona",NA,"Lifted","Lifted","New Business Closures or Limits","New Limit on Large Gatherings in Place",NA,"New Service Limits","-","Yes","2020_08_11","Required for Certain Employees;
Allows Local Officials to Require for General Public","New Restrictions Imposed","Newly Closed"
"Arkansas",NA,"-","Lifted","-","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_11","Required for General Public","Paused","Reopened"
"California",NA,"Statewide","-","New Business Closures or Limits","All Gatherings Prohibited",NA,"Newly Closed to Dine-in Service","-","Yes","2020_08_11","Required for General Public","New Restrictions Imposed","Newly Closed"
"Colorado",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25 or Fewer",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_11","Required for General Public","New Restrictions Imposed","Newly Closed"
"Connecticut",NA,"Lifted","From Certain States (New)","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25 or Fewer",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_11","Required for General Public","Proceeding with Reopening","Closed"
"Delaware",NA,"Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_11","Required for General Public","New Restrictions Imposed","New Service Limits"
"District of Columbia",NA,"Lifted","From Certain States (New)","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_11","Required for General Public","Proceeding with Reopening","Closed"
"Florida",NA,"Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_11","Required for Certain Employees","New Restrictions Imposed","Newly Closed"
"Georgia",NA,"Rolled Back to High Risk Groups","-","All Non-Essential Businesses Permitted to Reopen ","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service ","Postponed","Yes","2020_08_11","Required for Certain Employees","Proceeding with Reopening","Reopened"
"Hawaii",NA,"Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service","-","Yes","2020_08_11","Required for General Public","Proceeding with Reopening","Reopened"
"Idaho",NA,"Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_11","-","Paused","Reopened"
"Illinois",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_11","Required for General Public","Paused","Reopened"
"Indiana",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_11","Required for General Public","Paused","Reopened"
"Iowa",NA,"-","-","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service","-","Yes","2020_08_11","Allows Local Officals to Require for General Public","Reopened","Reopened"
"Kansas",NA,"Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen","Lifted",NA,"Reopened to Dine-in Service ","-","Yes","2020_08_11","Required for General Public","Reopened","Reopened"
"Kentucky",NA,"Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","New Limit on Large Gatherings in Place",NA,"New Service Limits","Postponed","Yes","2020_08_11","Required for General Public","New Restrictions Imposed","New Service Limits"
"Louisiana",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_11","Required for General Public","New Restrictions Imposed","Newly Closed"
"Maine",NA,"Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_11","Required for General Public","Proceeding with Reopening","Closed"
"Maryland",NA,"Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_11","Required for General Public","Paused","Reopened"
"Massachusetts",NA,"Rolled Back to High Risk Groups","All Travelers","Some Non-Essential Businesses Permitted to Reopen","New Limit on Large Gatherings in Place",NA,"New Service Limits","-","Yes","2020_08_11","Required for General Public","New Restrictions Imposed","Closed"
"Michigan",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen","New Limit on Large Gatherings in Place",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_11","Required for General Public","New Restrictions Imposed","Newly Closed"
"Minnesota",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_11","Required for General Public","Proceeding with Reopening","Reopened"
"Mississippi",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_11","Required for General Public","New Restrictions Imposed","New Service Limits"
"Missouri",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted",NA,"Reopened to Dine-in Service","-","Yes","2020_08_11","-","Reopened","Reopened"
"Montana",NA,"Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_11","Required for General Public","Proceeding with Reopening","Reopened"
"Nebraska",NA,"-","Rolled Back to International Travel","-","Expanded to New Limit of 25 or Fewer",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_11","Required for Certain Employees","Proceeding with Reopening","Reopened"
"Nevada",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_11","Required for General Public","New Restrictions Imposed","Reopened"
"New Hampshire",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_08_11","Required for Certain Employees","Proceeding with Reopening","Reopened"
"New Jersey",NA,"Lifted","From Certain States (New)","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_08_11","Required for General Public","New Restrictions Imposed","Closed"
